Sample_ID_ICR,Total_number_of_peaks,Total_Peaks_with_Molecular_Formulas,Lignin,Other,Protein,ConHC,Tannin,AminoSugar,Lipid,Carb,UnsatHC,CHONS,CHONSP,CHON,CHOS,CHOSP,CHO,CHONP,CHOP
S19S_0032_Sed_Field_ICR-M_p2,4744,2622,751,53,762,215,190,154,290,60,147,112,36,371,161,54,1230,195,463
S19S_0032_Sed_Field_ICR-U_p2,4918,2837,764,58,838,236,182,159,377,61,162,126,45,440,163,52,1207,270,534
S19S_0033_Sed_Field_ICR-M_p15,4896,3184,841,53,1058,184,152,230,340,85,241,132,46,378,231,58,1361,292,686
S19S_0033_Sed_Field_ICR-U_p15,4381,2767,677,49,938,129,108,198,340,83,245,145,24,369,209,60,1043,285,632
S19S_0034_Sed_Field_ICR-D_p2,3986,2517,716,32,704,343,100,154,303,56,109,69,35,367,180,57,1183,126,500
S19S_0034_Sed_Field_ICR-M_p2,3647,1742,386,47,560,189,42,116,267,38,97,111,58,232,165,79,615,122,360
S19S_0034_Sed_Field_ICR-U_p2,3939,2125,570,39,653,231,81,144,254,55,98,85,35,275,156,56,929,152,437
S19S_0035_Sed_Field_ICR-D_p2,3183,1698,554,32,482,121,100,76,208,28,97,77,25,223,74,58,758,117,366
S19S_0035_Sed_Field_ICR-M_p1,5052,3424,1138,39,872,308,273,219,336,90,149,115,47,371,184,56,1804,200,647
S19S_0035_Sed_Field_ICR-U_p2,4172,2553,806,40,626,254,202,161,282,82,100,137,64,334,164,98,1177,166,413
S19S_0036_Sed_Field_ICR-D_p1,2928,1556,338,73,505,129,74,104,211,56,66,95,37,259,104,66,550,98,347
S19S_0036_Sed_Field_ICR-M_p2,4065,2364,553,42,822,138,81,188,327,65,148,101,40,420,175,57,855,257,459
S19S_0036_Sed_Field_ICR-U_p2,3519,1919,485,34,652,101,74,149,262,47,115,94,24,320,166,47,694,150,424
S19S_0037_Sed_Field_ICR-D_p15,4716,2966,794,58,923,128,132,249,349,78,255,154,55,424,299,77,1092,333,532
S19S_0037_Sed_Field_ICR-U_p2,4069,2130,519,42,649,159,117,166,307,61,110,109,50,328,112,56,868,209,398
S19S_0038_Sed_Field_ICR-D_p2,4070,2168,543,41,633,214,141,117,335,40,104,105,34,302,116,41,999,164,407
S19S_0038_Sed_Field_ICR-M_p2,3964,2230,584,31,660,182,130,158,321,63,101,102,54,316,125,64,987,173,409
S19S_0038_Sed_Field_ICR-U_p15,4125,2632,699,46,827,221,203,167,241,62,166,105,27,325,172,44,1168,230,561
S19S_0039_Sed_Field_ICR-D_p2,4059,2467,717,45,672,186,139,204,273,118,113,79,22,386,216,51,1103,155,455
S19S_0039_Sed_Field_ICR-M_p1,4034,2622,789,36,758,236,125,179,340,66,93,91,21,382,192,29,1265,169,473
S19S_0039_Sed_Field_ICR-U_p2,4254,2477,741,42,706,184,102,210,264,97,131,92,29,346,223,41,1059,142,545
S19S_0040_Sed_Field_ICR-M_p15,2834,1622,485,34,516,78,52,111,255,44,47,71,26,158,177,32,630,125,403
S19S_0040_Sed_Field_ICR-U_p2,3994,2210,655,32,620,170,105,150,324,89,65,87,30,320,194,45,1018,92,424
S19S_0041_Sed_Field_ICR-D_p2,4106,2346,713,40,698,146,113,180,261,78,117,90,25,284,145,49,1082,159,512
S19S_0041_Sed_Field_ICR-M_p2,3869,2025,557,35,631,116,50,132,355,44,105,103,46,279,127,58,833,136,443
S19S_0041_Sed_Field_ICR-U_p2,4060,2281,719,31,656,147,115,172,275,69,97,77,20,267,158,36,1117,140,466
S19S_0042_Sed_Field_ICR-D_p2,3964,2451,914,28,587,201,177,111,323,38,72,89,27,373,174,32,1175,129,452
S19S_0042_Sed_Field_ICR-M_p2,3897,2340,753,29,583,206,151,103,415,40,60,109,26,345,173,44,1068,141,434
S19S_0042_Sed_Field_ICR-U_p2,4018,2517,907,26,611,231,173,126,328,42,73,119,25,416,185,62,1144,105,461
S19S_0043_Sed_Field_ICR-D_p2,3641,2026,686,38,528,200,133,130,220,65,26,64,16,374,131,49,892,98,402
S19S_0043_Sed_Field_ICR-M_p2,4070,2535,812,27,754,191,128,196,266,62,99,101,24,417,194,24,1139,163,473
