"Sample","NPOC_Field","NPOC_INC","Ratio_field_inc","Site"
"S19S_0024-M",32.18,28.8,1.11736111111111,"S19S_0024"
"S19S_0016-D",6.38,5.72,1.11538461538462,"S19S_0016"
"S19S_0013-M",19.78,17.78,1.11248593925759,"S19S_0013"
"S19S_0029-U",10.93,9.83,1.1119023397762,"S19S_0029"
"S19S_0082-M",20.54,22.8,1.11002921129503,"S19S_0082"
"S19S_0021-M",10.96,9.88,1.10931174089069,"S19S_0021"
"S19S_0099-D",8.65,9.59,1.10867052023121,"S19S_0099"
"S19S_0073-M",21.83,24.08,1.10306917086578,"S19S_0073"
"S19S_0033-U",8.31,7.54,1.10212201591512,"S19S_0033"
"S19S_0022-M",4.65,5.12,1.1010752688172,"S19S_0022"
"S19S_0014-D",14.07,15.49,1.10092395167022,"S19S_0014"
"S19S_0072-U",10.87,9.88,1.1002024291498,"S19S_0072"
"S19S_0039-U",12.11,11.02,1.0989110707804,"S19S_0039"
"S19S_0025-U",11.06,10.08,1.09722222222222,"S19S_0025"
"S19S_0080-M",5.68,6.2,1.09154929577465,"S19S_0080"
"S19S_0028-D",11.39,10.44,1.09099616858238,"S19S_0028"
"S19S_0062-M",8.54,7.86,1.08651399491094,"S19S_0062"
"S19S_0075-M",8.27,8.98,1.08585247883918,"S19S_0075"
"S19S_0076-M",40.62,37.43,1.08522575474219,"S19S_0076"
"S19S_0012-M",13.44,14.58,1.08482142857143,"S19S_0012"
"S19S_0062-U",6.47,7,1.08191653786708,"S19S_0062"
"S19S_0052-U",11.65,10.77,1.08170844939647,"S19S_0052"
"S19S_0031-U",6.42,6.91,1.07632398753894,"S19S_0031"
"S19S_0063-M",5.03,4.69,1.07249466950959,"S19S_0063"
"S19S_0098-M",38.7,36.26,1.0672917815775,"S19S_0098"
"S19S_0079-M",9.43,8.9,1.05955056179775,"S19S_0079"
"S19S_0042-D",31.73,30.04,1.05625832223702,"S19S_0042"
"S19S_0009-M",9.27,8.79,1.05460750853242,"S19S_0009"
"S19S_0035-U",9.27,9.73,1.04962243797195,"S19S_0035"
"S19S_0072-M",8.9,9.34,1.04943820224719,"S19S_0072"
"S19S_0018-M",15.31,14.59,1.04934886908842,"S19S_0018"
"S19S_0018-D",11.1,11.64,1.04864864864865,"S19S_0018"
"S19S_0026-M",11.73,12.3,1.04859335038363,"S19S_0026"
"S19S_0060-M",10.32,10.81,1.04748062015504,"S19S_0060"
"S19S_0044-U",21.03,20.11,1.04574838388861,"S19S_0044"
"S19S_0053-M",11.3,11.81,1.04513274336283,"S19S_0053"
"S19S_0084-U",10.62,11.07,1.04237288135593,"S19S_0084"
"S19S_0036-M",13.93,14.52,1.04235463029433,"S19S_0036"
"S19S_0030-U",6.84,7.12,1.04093567251462,"S19S_0030"
"S19S_0075-D",9.99,9.6,1.040625,"S19S_0075"
"S19S_0086-D",12.92,13.44,1.04024767801858,"S19S_0086"
"S19S_0097-M",16.42,15.79,1.03989867004433,"S19S_0097"
"S19S_0052-M",22.9,22.09,1.03666817564509,"S19S_0052"
"S19S_0099-U",6.77,7.01,1.03545051698671,"S19S_0099"
"S19S_0075-U",8.01,8.28,1.03370786516854,"S19S_0075"
"S19S_0060-D",10.74,11.1,1.03351955307263,"S19S_0060"
"S19S_0038-M",8.56,8.31,1.03008423586041,"S19S_0038"
"S19S_0041-D",9.88,9.6,1.02916666666667,"S19S_0041"
"S19S_0034-D",16.35,15.9,1.02830188679245,"S19S_0034"
"S19S_0009-U",11.85,12.14,1.02447257383966,"S19S_0009"
"S19S_0070-M",8.6,8.77,1.01976744186047,"S19S_0070"
"S19S_0018-U",17.34,17.01,1.01940035273369,"S19S_0018"
"S19S_0028-M",39.33,40,1.01703534197813,"S19S_0028"
"S19S_0021-D",8.83,8.69,1.01611047180667,"S19S_0021"
"S19S_0013-D",19,18.7,1.01604278074866,"S19S_0013"
"S19S_0078-D",10.18,10.03,1.01495513459621,"S19S_0078"
"S19S_0069-D",9.2,9.07,1.01433296582139,"S19S_0069"
"S19S_0015-U",10.74,10.59,1.01416430594901,"S19S_0015"
"S19S_0019-M",13.1,12.98,1.00924499229584,"S19S_0019"
"S19S_0032-U",22.13,22.31,1.0081337550836,"S19S_0032"
"S19S_0068-U",8.71,8.78,1.00803673938002,"S19S_0068"
"S19S_0016-M",21.16,21.02,1.00666032350143,"S19S_0016"
"S19S_0090-M",15.6,15.55,1.0032154340836,"S19S_0090"
